"Range","Age","n","mean","stdev"
"8–11",9.5,369,0.839,0.069
"12–15",13.5,578,0.995,0.111
"16–19",17.5,591,1.171,0.107
"20–29",25,617,1.21,0.099
"30–39",35,647,1.213,0.106
"40–49",45,700,1.206,0.102
"50–59",55,683,1.181,0.11
"60–69",65,623,1.167,0.114
"70–79",75,496,1.135,0.114
"80-89",85,398,1.107,0.115
